iter	Passed	Remaining
0	23	7066
1	77	11502
2	101	10011
3	125	9296
4	149	8791
5	170	8349
6	191	8009
7	212	7770
8	234	7574
9	254	7390
10	275	7233
11	297	7129
12	315	6973
13	349	7139
14	370	7041
15	390	6936
16	411	6843
17	435	6822
18	456	6754
19	474	6642
20	493	6553
21	512	6474
22	531	6404
23	551	6341
24	571	6287
25	590	6221
26	609	6158
27	627	6097
28	646	6045
29	670	6038
30	693	6018
31	712	5969
32	733	5934
33	756	5920
34	775	5873
35	794	5828
36	817	5810
37	836	5764
38	854	5720
39	875	5690
40	907	5731
41	940	5779
42	961	5749
43	982	5715
44	1001	5676
45	1022	5645
46	1042	5614
47	1063	5584
48	1084	5556
49	1104	5520
50	1125	5494
51	1153	5500
52	1171	5458
53	1193	5437
54	1212	5399
55	1233	5374
56	1254	5348
57	1274	5317
58	1296	5293
59	1314	5259
60	1338	5245
61	1361	5224
62	1384	5209
63	1408	5195
64	1426	5158
65	1447	5130
66	1467	5103
67	1485	5069
68	1504	5036
69	1524	5008
70	1544	4982
71	1563	4951
72	1590	4946
73	1611	4920
74	1631	4895
75	1651	4868
76	1673	4846
77	1691	4815
78	1711	4789
79	1730	4759
80	1768	4781
81	1794	4771
82	1817	4750
83	1835	4720
84	1854	4690
85	1875	4666
86	1896	4642
87	1919	4623
88	1937	4593
89	1955	4563
90	1975	4537
91	1996	4514
92	2017	4490
93	2037	4465
94	2051	4426
95	2071	4402
96	2092	4379
97	2113	4356
98	2139	4343
99	2157	4315
100	2176	4287
101	2208	4286
102	2230	4266
103	2249	4240
104	2268	4212
105	2286	4184
106	2307	4162
107	2328	4139
108	2346	4111
109	2360	4077
110	2378	4050
111	2399	4027
112	2426	4014
113	2446	3991
114	2464	3964
115	2482	3937
116	2503	3915
117	2515	3880
118	2546	3873
119	2568	3852
120	2585	3825
121	2605	3801
122	2625	3778
123	2645	3755
124	2664	3730
125	2686	3709
126	2697	3674
127	2718	3653
128	2733	3623
129	2766	3618
130	2785	3593
131	2796	3559
132	2815	3534
133	2838	3515
134	2853	3487
135	2872	3463
136	2885	3433
137	2903	3408
138	2924	3386
139	2945	3366
140	2966	3344
141	2986	3322
142	3005	3299
143	3027	3279
144	3046	3256
145	3066	3234
146	3087	3213
147	3101	3185
148	3129	3171
149	3150	3150
150	3170	3128
151	3188	3104
152	3209	3083
153	3227	3060
154	3247	3037
155	3266	3015
156	3285	2992
157	3308	2973
158	3327	2950
159	3345	2927
160	3364	2904
161	3385	2883
162	3403	2861
163	3423	2838
164	3448	2821
165	3470	2801
166	3494	2782
167	3515	2762
168	3534	2739
169	3570	2730
170	3590	2708
171	3608	2685
172	3628	2663
173	3647	2641
174	3665	2618
175	3676	2590
176	3695	2567
177	3714	2546
178	3732	2522
179	3752	2501
180	3771	2479
181	3800	2464
182	3819	2442
183	3836	2418
184	3856	2397
185	3866	2369
186	3885	2347
187	3904	2326
188	3922	2303
189	3940	2281
190	3959	2259
191	3994	2246
192	4015	2226
193	4037	2205
194	4071	2192
195	4091	2171
196	4115	2151
197	4137	2131
198	4151	2106
199	4172	2086
200	4193	2065
201	4216	2045
202	4234	2023
203	4254	2002
204	4273	1980
205	4294	1959
206	4314	1938
207	4330	1915
208	4340	1889
209	4360	1868
210	4380	1847
211	4401	1827
212	4420	1805
213	4440	1784
214	4458	1762
215	4476	1740
216	4494	1719
217	4502	1693
218	4516	1670
219	4533	1648
220	4551	1627
221	4569	1605
222	4589	1584
223	4611	1564
224	4637	1545
225	4657	1524
226	4677	1504
227	4698	1483
228	4719	1463
229	4739	1442
230	4758	1421
231	4780	1401
232	4800	1380
233	4843	1366
234	4857	1343
235	4877	1322
236	4897	1301
237	4916	1280
238	4936	1260
239	4958	1239
240	4976	1218
241	4995	1197
242	5013	1175
243	5032	1154
244	5051	1133
245	5071	1113
246	5093	1092
247	5116	1072
248	5151	1055
249	5170	1034
250	5187	1012
251	5205	991
252	5224	970
253	5248	950
254	5269	929
255	5281	907
256	5299	886
257	5315	865
258	5338	845
259	5359	824
260	5380	803
261	5399	783
262	5418	762
263	5434	741
264	5453	720
265	5475	699
266	5492	678
267	5511	658
268	5530	637
269	5552	616
270	5574	596
271	5593	575
272	5611	554
273	5628	534
274	5649	513
275	5666	492
276	5682	471
277	5700	451
278	5714	430
279	5732	409
280	5747	388
281	5766	368
282	5787	347
283	5808	327
284	5829	306
285	5849	286
286	5869	265
287	5890	245
288	5910	224
289	5928	204
290	5949	183
291	5970	163
292	5993	143
293	6012	122
294	6032	102
295	6051	81
296	6067	61
297	6088	40
298	6109	20
299	6136	0
